PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,TIPO-NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,WIKIDATA_BARRIO,COD-DISTRITO,DISTRITO,WIKIDATA_DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
1085,Centro de Educación Especial Numen,,,Transporte - Comedor,BUS: 146,Enseñanzas  Educación especial:  Educación infantil  Educación Básica Obligatoria  Transición vida adulta  En la misma dirección se encuentra la Asociación NUMEN para padres de alumnos afectados cerebrales,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f94d1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE TABATINGA 11,V,28027.0,8.0,EL SALVADOR,,20.0,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,446329.0,4477250.0,40.4441625741533,-3.63289208234699,917 432 191,numen@fundacionnumen.org,CentrosEducacion/CentrosPrivadosConcertadosEducacionEspecial
1143,Centro de día y centro ocupacional Manos Tendidas Arganzuela,,,Centro de día y centro ocupacional para personas con discapacidad intelectual.,"Metro: Legazpi (línea 3, 6)  Bus: 62, 148, 156, T32  Bicimad: Estación 270 (Calle Teresa López Valcárcel esq. Teniente Coronel Noreña)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9ce1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE RICARDO DAMAS 3,V,28045.0,4.0,Legazpi,https://wikidata.org/entity/Q3773990,2.0,Arganzuela,https://wikidata.org/entity/Q2000929,441037.0,4470952.0,40.3870808710488,-3.69468329160985,914 671 670 (centro de día) / 918 711 538 /  914 671 670 (residencia),,CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad
1417,ATENPACE Centro de rehabilitación para jóvenes y adultos paralíticos cerebrales,,,Centro de rehabilitación para personas con discapacidad física.,"Metro: Peñagrande, Avenida de la Ilustración (línea 7)   Bus: 64, 83, 133",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f25376172d71c010VgnVCM1000000b205a0aRCRD,CALLE ISLAS MARQUESAS 27,V,28035.0,3.0,PEÑA GRANDE,,8.0,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,438435.0,4480885.0,40.4763691153291,-3.72630823506854,913 167 446,,CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad
1632,Unión de Ciudades Capitales Iberoamericanas (UCCI),Organización internacional de carácter municipal no gubernamental.,"De lunes a jueves, de 9 a 17:30 horas. Viernes, de 9 a 15 horas.",Wifi,"Metro: Banco de España (Línea 2)  Bus: E1, 203, 14, 27, 37, 45, C03, 1, 146, 15, 2, 20, 51, 52, 74, 9, 10, 34, 001  Bicimad: Estación 86 (Plaza Cibeles)  Aparcamiento: Montalbán (49), calle Montalbán (entre calle Alfonso XI y paseo Prado)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e831ff632081c010VgnVCM1000000b205a0aRCRD,CALLE MONTALBAN 1,V,28014.0,5.0,Jerónimos,https://wikidata.org/entity/Q10306766,3.0,Retiro,https://wikidata.org/entity/Q2002296,441281.0,4474416.0,40.418302140406,-3.69213177471994,915 889 693,ucci@ciudadesiberoamericanas.org,OrganismosInternacionales/OtrosOrganismosInternacionales
1636,Subdirección General de Estadística,,"De lunes a viernes, de 09:00 a 13:30 horas.",,"METRO: Chueca (Línea 5), Banco de España (Línea 2) CERCANIAS: Recoletos (C1, C2, C7, C8 y C10) BICIMAD: Estación 58 (Calle Augusto Figueroa, 33)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7f11e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE AUGUSTO FIGUEROA 36,V,28004.0,4.0,Justicia,https://wikidata.org/entity/Q1992319,1.0,Centro,https://wikidata.org/entity/Q1763376,440948.0,4474815.0,40.4218712698439,-3.6961018379659,,datoscensales@madrid.es / estadistica@madrid.es,AyuntamientoMadrid/OtrasEntidadesAdministrativasAyto
1681,Almacén de Villa,"En el Almacén de Villa se depositan muebles y enseres que, como consecuencia de lanzamientos por desahucios o con motivo de derribos forzosos, hundimientos, incendios o cualquier otra causa, ocupasen la vía pública, contraviniendo las ordenanzas municipales. También se depositan  muebles y enseres a instancia de algún órgano municipal como consecuencia de un procedimiento de ejecución subsidiaria por ocupación no autorizada de la vía pública: mobiliario de terrazas, carteles, etc. Para retirar los depósitos hay que abonar la Tasa por Prestación de Servicios de Retirada, Transporte y Almacenaje en el Almacén de Villa, de conformidad con lo estipulado en la Ordenanza Fiscal de la referida Tasa, cuando no sea aplicable la prevista reducción del 100%. Las personas propietarias de los bienes depositados en el Almacén de Villa tienen derecho:   A ser informadas sobre las condiciones del depósito así como de los requisitos para su retirada.  A que sus muebles y enseres se custodien con la máxima diligencia y en condiciones que impidan su deterioro.  A retirar prendas de ropa o documentos personales en las condiciones recogidas en el Reglamento de gestión de los bienes muebles depositados en el Almacén de Villa.  A recibir sus muebles y enseres en las mismas condiciones en que fueron depositados en el Almacén de Villa, sin perjuicio de lo previsto en el Reglamento.  Para ver la ubicación concreta de esta instalación se puede consultar el plano adjunto.","De lunes a viernes de 8:30 a 14:30 horas. Cerrado los días 24 y 31 de diciembre. Horario de verano, de 15 de junio a 15 de septiembre, y en la semana de San Isidro de 8:30 a 14 horas.  Para depósito y retirada de mobiliario, enseres y otros efectos, personarse una hora antes del cierre. Antes de personarse para recuperar el mobiliario depositado como consecuencia de una ejecución subsidiaria se recomienda ponerse en contacto con el Almacén de Villa a efectos de constatar su entrada en esta dependencia.",,Cercanías Renfe: Vicálvaro (C2)  Metro: Puerta de Arganda (línea 9)  Autobús: línea SE 718 Puerta Arganda-Cañada Real (parada 4050 Pirotecnia-Ahumados),,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f68f76172d71c010VgnVCM1000000b205a0aRCRD,CALLE AHUMAOS 27,V,28052.0,1.0,CASCO H.VICALVARO,,19.0,Vicálvaro,https://wikidata.org/entity/Q589403,449259.0,4471684.0,40.3942179110165,-3.59788171315162,916 748 880,,AyuntamientoMadrid/OtrasEntidadesAdministrativasAyto
1737,Archivo de Villa,"El Archivo General de la Villa de Madrid aparece por vez primera en una Real Provisión de Carlos I (1525). En el siglo XVIII el Archivo de Villa se organiza definitivamente. Desde hace trescientos años esta institución gestiona, describe, conserva y difunde los documentos generados por el Ayuntamiento de Madrid y, ya en el siglo XX, por los Ayuntamientos anexionados, a los que se suman colecciones y fondos privados.","Horario general: de lunes a viernes, de 9 a 14 horas.  Ampliación de horario general: de lunes a jueves de 14 a 17 horas.    Previa cita en el teléfono 914 801 308.    Horario de verano, del 15 de junio al 15 de septiembre,  y semana de San Isidro:   De 9 a 13:30 horas.  Ampliación de horario:  de lunes a jueves de 13:30 a 16 horas.     Previa cita en el teléfono 914 801 308.   Cerrado sábados, festivos y los días 24 y 31 de diciembre","Información general Consulta de documentos Apoyo a la investigación y consulta de los fondos Reproducción de documentos Búsqueda especializada de información en la documentación archivística Servicio interno de apoyo a otras unidades Actividades culturales y divulgativas Préstamo de documentos para exposiciones Sugerencias, reclamaciones y felicitaciones","Metro: Ventura Rodríguez (línea 3), Plaza de España (línea 2, 3, 10), San Bernardo (línea 2 y 4) y Noviciado (línea 2, 3 y 10)","Requisitos   Sala de investigación: Documento Nacional de Identidad. Información administrativa: solicitud por escrito, presentada en cualquiera de los registros municipales del Ayuntamiento de Madrid de manera presencial o enviada a través de los formularios disponibles en la sede electrónica con certificado digital.   Puestos para investigación: 40",Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfbf76172d71c010VgnVCM1000000b205a0aRCRD,CALLE CONDE DUQUE 11,V,28015.0,5.0,Universidad,https://wikidata.org/entity/Q10387767,1.0,Centro,https://wikidata.org/entity/Q1763376,439754.0,4475499.0,40.4279384435182,-3.71024034671951,915 885 761,archivovilla@madrid.es,ArchivosCentrosDocumentacion
1744,Biblioteca Nacional de España,"Fundada por Felipe V en 1712 como Biblioteca Pública de Palacio. En 1836 dejó de ser propiedad de la Corona y pasó a depender del Ministerio de la Gobernación y recibió por primera vez el nombre de Biblioteca Nacional y en 1896 se abrió al público. En la biblioteca recibens y conservan ejemplares de todos los libros publicados en España. Además, atesoran una valiosísima colección de incunables, manuscritos, estampas, dibujos, fotografías, grabaciones sonoras... Para poder consultar estos fondos basta con tener un carné de lector o investigador. Las Salas de Exposiciones y el Museo de la Biblioteca, donde se realizan diversas exposiciones y actividades culturales, están abiertas a todos.","De lunes a viernes de 9 a 20 horas. Días de cierre: 1 y 6 de enero, 5 de enero (abierto de 9 a 18 horas), 28 y 29 de marzo,  1, 2 y 15 de mayo, 25 de julio, 15 de agosto, 12 de octubre, 1 y 9 de noviembre, 6, 8, 24, 25 y 31 de diciembre. Horario exposiciones según espacios. Entrada libre y gratuita.",,"Metro: Colón, (línea 4), Retiro (Línea 2)  Bus: 1, 9, 5, 14, 19, 21, 27, 37, 45, 51, 53, 74, 150  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10 y Regional).  Bicimad: Estación 94 (Paseo Recoletos, 20).  Aparcamiento: Colón (2), plaza de Colón.",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b8d995a8bf5d010VgnVCM2000000c205a0aRCRD,PASEO RECOLETOS 20,V,28001.0,1.0,Recoletos,https://wikidata.org/entity/Q3814551,4.0,Salamanca,https://wikidata.org/entity/Q1773521,441395.0,4474937.0,40.4230035074483,-3.69083647560927,915 807 800 (Centralita) / 915 807 823  y 915 807 805 (Información),acceso@bne.es,MonumentosEdificiosArtisticos
1745,Biblioteca Pública Municipal Canillejas (San Blas-Canillejas),"La Biblioteca Pública Municipal de Canillejas se inauguró el 4 de agosto de 1981 en la tercera planta del edificio que entonces ocupaba la Junta Municipal del Distrito de San Blas, en la calle Torre Arias. Ocho años después se trasladó al edificio que ocupa hoy, en la calle Boltaña, justo enfrente de su ubicación anterior y en pleno núcleo comercial del barrio de Canillejas. Su reapertura al público, en las nuevas instalaciones, se produjo el 15 de marzo de 1989, compartiendo edificio con el Centro Cultural Buero Vallejo.",Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.","Metro: Canillejas, Torre Arias (línea 5).","Superficie: 466 metros cuadrados  Puestos de lectura: 98  Puestos de Internet: 6 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)   Página en Facebook",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD,CALLE BOLTAÑA 23,NUM,28022.0,7.0,Canillejas,https://wikidata.org/entity/Q663013,20.0,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,448119.0,4477485.0,40.4464022918828,-3.6117933204271,91 741 11 34,bpcanillejas@madrid.es,BibliotecasPublicas
1746,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),"La Biblioteca Pública Municipal de San Blas se abrió al público el 10 de mayo de 1987 y al acto de inauguración acudió el entonces alcalde Don Juan Barranco. El edificio que ocupa actualmente fue un Seminario de Sacerdotes Migrantes, rehabilitado tras muchos años de abandono y un incendio, que lo dejó en condiciones críticas. El Ayuntamiento lo reformó para instalar en él el Centro Cultural Antonio Machado, dentro del que se encuentra la biblioteca. La Biblioteca se sitúa en la segunda planta. El edificio tiene forma redonda y 3 plantas. Tiene un Centro de Mayores y una Escuela de Música. Lo preside un busto de Don Antonio Machado.",Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura Zona de publicaciones periódicas. Sala infantil y juvenil. Sala multimedia.  Sala polivalente.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro: Alsacia (línea 2),"Superficie: 312 metros cuadrados  Puestos de lectura: 125  Puestos de Internet: 8 (con lector de pantalla NVDA, que permite a las personas ciegas y con discapacidad visual usar ordenadores)  Página en Facebook","Accesible,Bucle de inducción magnético",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e403d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE SAN ROMAN DEL VALLE 8,NUM,28037.0,4.0,Arcos,https://wikidata.org/entity/Q9627876,20.0,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,447249.0,4474586.0,40.4202316275349,-3.6218113860909,91 313 52 97,bpsanblas@madrid.es,BibliotecasPublicas
