PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,TIPO-NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
3716,Parroquia Virgen del Refugio y Santa Lucía,,,,"Metro: Fuencarral (línea 10).  Bus: 124.  Cercanías Renfe: Ramón y Cajal (líneas C2, C3a, C7 y C8).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67088c7c0f91f010VgnVCM1000000b205a0aRCRD,CALLE MANRESA 60,V,28034,6,VALVERDE,8,FUENCARRAL-EL PARDO,441161,4482583,40.491.863.823.601.100,-3.694.311.178.526.010,917 342 045,pvdelrefugio@archimadrid.es,"TemplosIglesiasCatolicas"
3717,Parroquia Virgen de Los Remedios,,,,"Metro: Marqués de Vadillo (línea 5).  Bus: 23.  Bicimad: Estaciones 228 (calle San Delfín, 9), 212 (glorieta Marqués de Vadillo, 9), 354 (calle Jacinto Verdaguer, 12).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a973d232e91f010VgnVCM1000000b205a0aRCRD,CALLE TOMASA RUIZ 8,V,28019,1,COMILLAS,11,CARABANCHEL,439655,4471955,4.039.602.183.120.740,-3.711.062.815.737.570,915 698 947,virgendelosremedios@archimadrid.es,"TemplosIglesiasCatolicas"
3719,Parroquia Visitación de Nuestra Señora,,,,"Metro: Artilleros (línea 9).  Bus: 30, 32.  Bicimad: Estación 461 (Corregidor Ldo. Antonio de Mena, sn).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5388c7c0f91f010VgnVCM1000000b205a0aRCRD,CALLE PICO DE LOS ARTILLEROS 82,V,28030,6,VINATEROS,14,MORATALAZ,445688,4473162,40.407.308.426.875.300,-364.008.298.835.992,917 733 705,parroquia.visitacion@archimadrid.es,"TemplosIglesiasCatolicas"
3727,Parroquia Santa María Personal de Habla Alemana,,,,"Metro: Bambú (línea 1).  Bus: 129, 150.  Bicimad: Estación 284 (avenida de Burgos, 17).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb04b069a541f010VgnVCM1000000b205a0aRCRD,AVENIDA BURGOS 12,V,28036,6,CASTILLA,5,CHAMARTIN,442716,4480571,40.473.848.869.493.400,-36.757.773.271.183.400,917 680 725,santa_maria@archimadrid.es,"TemplosIglesiasCatolicas"
3728,Templo Eucarístico de San Martín de Tours,,,,"Metro: Callao (líneas 3 y 5), Gran Vía (líneas 1 y 5), Noviciado (línea 2).  Bus: 001, 1, 146, 2, 46, 74, 3, 002.  Bicimad: Estaciones 2 (calle Miguel de Moya, 1), 211 (calle Desengaño, 1), 22 (calle Jacometrezo, 3), 17 (plaza de Carlos Cambronero, 2), 210 (calle Tres Cruces, 7), 16 (calle San Bernardo, 22).  Aparcamientos: Luna-Tudescos (14) plaza de Santa María Soledad Torres Acosta con vuelta a calle Luna; Barco 1 (88) calle Barco.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df661e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE DESENGA&amp;Ntilde;O 26,V,28004,5,UNIVERSIDAD,1,CENTRO,440223,4474747,4.042.121.388.940.070,-37.046.401.155.946.900,915 227 266,info@anfesanmartin.org,"TemplosIglesiasCatolicas"
3729,Iglesia del Santo Niño del Remedio,,,,"Metro: Ópera (líneas 2, 5 y Ramal).  Bus: 75, 147, 148, 146, 44, SE712.   Bicimad: Estaciones 25 a y b (plaza de Celenque, 1), 31 (calle Mayor, 20), 24 (calle Carlos III, 1), 23 (plaza de Santo Domingo, 1), 22 (calle Jacometrezo, 3), 2 (calle Miguel Moya, 1), 9 (plaza de San Miguel, 9).    Aparcamiento: Descalzas (20) plaza Descalzas y plaza San Martín.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=245def4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE DONADOS 6,V,28013,6,SOL,1,CENTRO,439912,4474403,4.041.808.596.480.540,-37.082.649.271.629.700,915 426 112,,"TemplosIglesiasCatolicas"
3732,Monasterio de la Inmaculada y San Pascual (Clarisas),,,,"Metro: Banco de España (línea 2).  Bus: 14, 150, 27, 37, 45, 5, C03, 53, 001, 1, 146, 15, 2, 20, 203, 51, 52, 74, 9.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 y C10).  Bicimad: Estaciones 94 (paseo de Recoletos, 20), 19 (calle Prim, 2), 20a (calle Alcalá, 49), 86 (plaza Cibeles).  Aparcamientos: Garaje Piamonte (96) piamonte; plaza del Rey (54) plaza del Rey y calle Barquillo con calle Infantas.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=62861e79ee71c010VgnVCM1000000b205a0aRCRD,PASEO RECOLETOS 11,V,28004,4,JUSTICIA,1,CENTRO,441224,4474733,4.042.115.211.611.730,-36.928.410.119.657.900,915 311 841,,"TemplosIglesiasCatolicas"
3734,Iglesia Convento del Santísimo Cristo del Pardo,,,,,,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4961e79ee71c010VgnVCM1000000b205a0aRCRD,PISTA CRISTO DE EL PARDO 11,V,28048,1,EL PARDO,8,FUENCARRAL-EL PARDO,433197,4485709,4.051.942.526.454.580,-378.859.935.415.037,657 791 799,lanaarbizu@gmail.com,"TemplosIglesiasCatolicas"
3736,Iglesia Esclavas del Sagrado Corazón de Jesús,,,,"Metro: Iglesía (línea 1).  Bus: 16, 5, 61, 3, 37.  Bicimad: Estaciones 246 (calle Santa Engracia, 87), 125 (calle Fernández de la Hoz, 29).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25513d232e91f010VgnVCM1000000b205a0aRCRD,PASEO GENERAL MARTINEZ CAMPOS 10,V,28010,4,ALMAGRO,7,CHAMBERI,440856,4476258,4.043.486.534.899.850,-36.973.162.781.599.900,914 466 015 / 914 471 118,,"TemplosIglesiasCatolicas"
3737,Oratorio de la Hospitalidad de Nuestra Señora de Lourdes,,,,"Metro: Rubén Darío (línea 5), Alonso Martínez (líneas 4, 5 y 10).   Bus: 7, 14, 150, 27, 45, 5.  Bicimad: Estación 198 (paseo de la Castellana, 33), 103 (calle José Ortega y Gasset, 4), 142 (paseo de la Castella, 42).  Aparcamiento: Almagro (12) calle Almagro, 11.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d561e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE FORTUNY 21,V,28010,4,ALMAGRO,7,CHAMBERI,441391,4475735,40.430.192.969.177.900,-36.909.596.738.235.600,913 197 780,,"TemplosIglesiasCatolicas"
3740,Comunidad Cristiana Eben-Ezer de la Villa de Vallecas,,,,"Metro: Congosto (línea 1)  Bus: 54, 142",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=04750a47f441f010VgnVCM2000000c205a0aRCRD,CALLE SIERRA DE TORTEJADA 2,V,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,447525,4469177,4.037.152.812.090.630,-36.181.096.496.598.000,,,"TemplosOtrasReligiones"
3742,Primera Iglesia Evangélica Bautista de Madrid,Templo evangélico,,,"Metro: Palos de la Frontera (línea 3)  Bus: 8, 47, 55, 102, 247, 19, 59, 6, 85, 86, E1, 27  Renfe: Atocha Renfe  BICIMAD: Estación 273 (calle Delicias, 45)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ede51e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE GENERAL LACY 18,V,28045,6,PALOS DE LA FRONTERA,2,ARGANZUELA,441371,4472783,4.040.359.707.134.780,-36.909.181.560.446.500,,,"TemplosOtrasReligiones"
3743,Iglesia de San Antón,,,,"Metro: Chueca (línea 5), Tribunal (líneas 1 y 10), Alonso Martínez (líneas 4, 5 y 10).  Bus: 3.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 y C10).  Bicimad: Estación 6 (calle Hortaleza, 63), 7 (calle Hortaleza, 75), 58 (calle Augusto Figueroa, 33).  Aparcamiento: Aparcamiento Escuelas de San Antón (91) Santa Brígida.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f213d232e91f010VgnVCM1000000b205a0aRCRD,CALLE HORTALEZA 63,V,28004,4,JUSTICIA,1,CENTRO,440747,4475062,4.042.408.121.377.880,-36.984.906.424.295.700,915 215 781,iglesiasananton@mensajerosdelapaz.com,"TemplosIglesiasCatolicas"
3744,Parroquia Nuestra Señora Reina del Cielo,,,,"Metro:  Sainz de Baranda (líneas 6 y 9), Conde de Casal (Línea 6).  Bus: 20, 30, 32.  Bicimad: Estación 73 (avenida de Nazaret, 7).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f981ef4d7f71c010VgnVCM1000000b205a0aRCRD,PASAJE CAN MENOR 5,V,28007,3,ESTRELLA,3,RETIRO,443424,4473782,404.127.449.606.682,-3.666.813.444.310.050,915 736 131,reinacielo@archimadrid.es,"TemplosIglesiasCatolicas"
3751,Centro Cultural Islámico. Mezquita de Madrid,,,,"Metro: Barrio de la Concepción (línea 7).  Bus: 122, 53.  Bicimad: Estación 231 (calle Derechos Humanos, 12).  Aparcamiento: Verdaguer y García (44), calle Verdaguer y García.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3b71e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE SALVADOR DE MADARIAGA 7,V,28027,5,SAN PASCUAL,15,CIUDAD LINEAL,444248,4476638,4.043.852.894.692.420,-36.573.554.749.897.200,913 262 610,info@centro-islamico.com,"TemplosOtrasReligiones"
3891,Sala Clamores,,,"Estilos: Blues, Flamenco, Funk, Indie, Jam Session, Jazz, Músicas del mundo.","Metro: Bilbao (líneas 1 y 4), Quevedo (línea 2), Iglesia (línea 1).  Bus: 147, 37, 40, 149.  Bicimad: Estación 124 (calle manuel Silvela, 20).  Aparcamiento: Olavide (52), plaza de Olavide.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfa7b069a541f010VgnVCM1000000b205a0aRCRD,CALLE ALBURQUERQUE 14,V,28010,3,TRAFALGAR,7,CHAMBERI,440546,4475846,40.431.131.392.042.800,-3.700.934.446.544.100,914 455 480,info@salaclamores.com,"AuditoriosSalasConcierto"
3917,Sala El Sol,,,Estilos: Todos los estilos.,"Metro: Gran Vía (línea 1 y 5), Sol (líneas 1, 2 y 3).  Bus: 001, 1, 146, 2, 3, 46, 74, 002.  Bicimad: Estación 210 (Tres Cruces, 7) / Estación 56 (plaza del Carmen, 1).  Cercanías Renfe: Sol (líneas C3, C4, C4a, C4b y Regional).  Aparcamiento: Plaza del Carmen (8).",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c20eff632081c010VgnVCM1000000b205a0aRCRD,CALLE JARDINES 3,V,28013,6,SOL,1,CENTRO,440477,4474497,40.418.975.770.642.600,-37.016.187.703.744.200,915 326 490,programacion@salaelsol.com,"AuditoriosSalasConcierto"
3936,Sala Barco,,,"Estilos: Blues, Funk, Jazz, Rock",Bus: 002  Bicimad: 55 - Plaza de San Ildefonso,,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=71b21e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE BARCO 34,V,28004,5,UNIVERSIDAD,1,CENTRO,440424,4474956,4.042.311.058.587.230,-37.022.819.005.218.300,915 317 754,pdejuan@barcobar.com,"AuditoriosSalasConcierto"
4072,Sala Big Mama Ballroom,,,"Estilos: Jazz, Swing.","Metro: Embajadores (líneas 3 y 5), Palos de la Frontera (línea 3).  Bus: 148, 60, 78, 119, 34, 36, 41, C03, C2, C1.  Cercanías Renfe: Embajadores (línea C5)  Bicimad: Estaciones 47 (glorieta Embajadores, 6), 48 (glorieta de Embajadores, 2), 49 (Ronda de Atocha, 34)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb6d7b503a71c010VgnVCM1000000b205a0aRCRD,CALLE BERNARDINO OBREGON 3,V,28012,6,PALOS DE LA FRONTERA,2,ARGANZUELA,440603,4472862,40.404.252.851.320.000,-36.999.784.000.568.800,917 648 018,ballroom@bigmamaswing.com,"AuditoriosSalasConcierto"
4077,Teatro Municipal de Títeres. Parque de El Retiro,"Dentro del parque de El Retiro, muy cerca de la entrada desde la plaza de la Independencia, donde se encuentra la Puerta de Alcalá, está el Teatro de Títeres, toda una institución para el público infantil madrileño.  Este teatro permanente ofrece representaciones, normalmente, los sábados y domingos en diferentes horarios según la climatología de cada época del año y está dedicado el mundo del títere y la marioneta.",,,"Metro: Retiro (línea 2).  Bus: 1, 2, 9, 15, 19, 20, 51, 52, 74, 146, 28.",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=784d8c7c0f91f010VgnVCM1000000b205a0aRCRD,AVENIDA MÉXICO 4,V,28009,,LOS JERÓNIMOS,,RETIRO,441748,4474466,4.041.878.362.561.590,-36.866.519.471.003.600,,,"Teatros"
4078,Escuela de Tiempo Libre ASDE - Insignia de Madera,,,,"Metro: Gran Vía (líneas 1 y 5), Chueca (línea 5)  Bus: 002, 3, 46, 001, 1, 146, 2, 74  Bicimad: Estación 18 (Plaza Pedro Zerolo)  Aparcamiento: Pedro Zerolo (71), Plaza Pedro Zerolo",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a0da4ea6871c010VgnVCM1000000b205a0aRCRD,CALLE HORTALEZA 19,V,28004,4,JUSTICIA,1,CENTRO,440597,4474788,40.421.603.056.562.800,-37.002.365.929.902.200,915 219 158,escuela@exploradoresdemadrid.org,"CentrosEscuelasTiempoLibre"
4079,Escuela de Tiempo Libre Intercamp,,,,"Autobús: 62, 74, 21  Metro: Arg&amp;uuml;elles (líneas 3, 4, 6)  Bicimad: Estación 117 (calle Altamirano, 24)  Aparcamiento: Marqués de Urquijo (63), Marqués de Urquijo (entre calle Princesa y Juan Álvarez Mendizábal)",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e71a4ea6871c010VgnVCM1000000b205a0aRCRD,CALLE FERRAZ 55,V,28008,2,ARGUELLES,9,MONCLOA-ARAVACA,438821,4475738,404.300.371.337.053,-37.212.529.792.881.000,915 540 945 / 615 287 486,escuela@intercamp.es,"CentrosEscuelasTiempoLibre"
4275,Banda Sinfónica Municipal de Madrid,,,,"Metro: Alto de Extremadura (línea 6), Lago (línea 10)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c926821c3771c010VgnVCM1000000b205a0aRCRD,AVENIDA PRINCIPAL 9,V,28011,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437121,4473927,4.041.359.310.144.810,-37.411.161.249.274.900,,direccionbsinfonica@madrid.es,
4294,"Área de Gobierno de  Cultura, Turismo  y Deporte","Titular del Área: Marta Rivera de la Cruz.     Competencias: le compete programación de actividades culturales; archivos, bibliotecas y museos; patrimonio cultural e histórico; monumentos municipales; paisaje urbano; promoción turística; promoción de Madrid en el exterior; programación deportiva y de eventos deportivos. Del Área de Gobierno de Cultura, Turismo y Deporte dependen las siguientes áreasdelegadas:   Área Delegada de Turismo   Área Delegada de Deporte     Empresas y organismos adscritos: Empresa Municipal Madrid Destino Cultura Turismo y Negocio, S.A.   Consultar organigrama en información relacionada.",,,Metro: Banco de España (Línea 2),,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c124821c3771c010VgnVCM1000000b205a0aRCRD,CALLE MONTALBAN 1,V,28014,5,LOS JERONIMOS,3,RETIRO,441281,4474416,4.041.830.214.040.600,-3.692.131.774.719.940,010 (914 800 010 si llama desde fuera de la ciudad de Madrid),ag.culturaturdep@madrid.es,"AyuntamientoMadrid/AreasGobierno"
4673,Centro Deportivo Municipal Moratalaz,,"Horario de uso de las instalaciones deportivas                      Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla    De lunes a viernes, de 9 a 20:30 h. Sábados y domingos. de 9 a 14:30 h.   Cierre completo del centro   Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","Clases y escuelas deportivas    Pre infantiles (0 a 3 años): natación.  Infantiles (edad, según modalidad): atletismo, baloncesto, hábitos saludables, fútbol,  fútbol sala, gimnasia rítmica, judo, karate shyto, natación, patinaje, polideportiva, tenis y tiro con arco.  Jóvenes y personas adultas: aeróbic,  atletismo juvenil, ciclo sala, combinada (fitness/ciclo sala), fútbol (masculino y femenino), gap (glúteos, abdomen, piernas), gimnasia acuática (acuagim), hábitos saludables, judo, karate shyto, natación , natación embarazadas, pádel, pilates, tenis y tonificación (con pesas).  Mayores 65 años: acondicionamiento físico, gimnasia acuática (acuagim), natación, natación de compensación y pilates.  Personas con discapacidad  : atletismo y natación.     Equipamientos    Superficie total de las instalaciones: 108.300 metros cuadrados.  Unidades deportivas cubiertas:  pabellón polideportivo, piscina (vaso de 25 metros), sala de musculación, sala de artes marciales y sala multiusos (psicomotricidad, sala multiusos (ciclo sala).   Unidades deportivas al aire libre:  campo de fútbol (de césped artificial), 3 pistas de fútbol sala, campo de tiro con arco, 1 frontón (largo), piscina (3 vasos de 50 metros y una vaso infantil), pista de atletismo, pista de baloncesto, pista de patinaje, 4 pistas de pádel, 6 pistas de tenis y 1 pista de vóley playa.   Oficina de promoción deportiva:  responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales, Copas de Primavera. Además, ofrece información sobre las escuelas de promoción deportiva.    Servicio de medicina deportiva: reconocimientos médicos deportivos y acondicionamiento cardiovascular.    Unidades con servicios auxiliares:   sala de reconocimientos médicos.    Ayudas técnicas para la accesibilidad:  1 ascensor y 2 grúas de piscina.    Columna de rescate cardíaco.","Metro: Pavones.  Bus: 8, 20, 32, 71, 142, 144.  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para    interior (10), exterior (8) bicicletas.    Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc9942be9971c010VgnVCM1000000b205a0aRCRD,CALLE VALDEBERNARDO 2,V,28030,1,PAVONES,14,MORATALAZ,446331,4472220,4.039.885.854.572.330,-3.632.432.290.214.530,"917 727 100                                                                                                                                     
- 917 727 121",idmmoratalaz@madrid.es,"CentrosEspaciosDeporte/Gimnasios"
4674,Centro Deportivo Municipal La Elipa,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.      Horario de Taquilla   De 8,30 a 20,30 horas.   Cierre completo del Centro   los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","Clases y escuelas deportivas    Infantiles  (edad, según modalidad): bádminton, bateo en túnel, béisbol, fútbol (masculino y femenino), pádel y tenis.  Personas jóvenes y adultas  : bateo en túnel, béisbol, combinada (tonificación/pilates), fitness, musculación, pádel, pickleball, pilates y tenis.    Mayores 65 años:    acondicionamiento físico, pilates y polideportiva.     Equipamientos     Superficie total en las instalaciones: 159.000 metros cuadrados.    Unidades deportivas al aire libre:   campo de béisbol (de césped artificial), campo de bolos y petanca, 2 campos de fútbol (de césped artificial), 2 campos de fútbol 7 (de césped artificial), 2 campos de sófbol (de césped artificial), 2 circuitos de automodelismo (radiocontrol de asfalto / radiocontrol de tierra, con cubierta), piscina (vaso de 50 metros, vaso de recreo y vaso infantil), 6 pistas de pádel (2 de cristal), 4 pistas de pickleball, pista polideportiva (con cubierta), 9 pistas de tenis, 11 tenis mesa y zona nudista.    Unidades deportivas cubiertas:   frontón, pabellón polideportivo, 3 pistas de pickleball, rocódromo, 1 sala multiusos (gimnasio) y sala de musculación.    Unidades auxiliares:  aula .    Oficina de promoción deportiva:   responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales, Copas de Primavera. Además, ofrece información sobre las escuelas de promoción deportiva.","Metro: Estrella.  Bus: 71 , 113.  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 30 bicicletas.  Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones.",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6b842be9971c010VgnVCM1000000b205a0aRCRD,CALLE ALCALDE GARRIDO JUARISTI 17,V,28030,4,MEDIA LEGUA,14,MORATALAZ,444349,4473952,4.041.433.123.768.480,-36.559.498.758.522.800,914 303 511,idmlaelipa@madrid.es,"CentrosEspaciosDeporte/Gimnasios"
4675,Centro Deportivo Municipal Palomeras,,"Horario de uso de las instalaciones deportivas     Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a domingo, de 8,30 a 20,30 horas. Desde el 1 de noviembre la taquilla permanecerá cerrada los fines de semana por las tardes y los festivos mañana y tarde.   Cierre completo del centro   Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","Clases y escuelas deportivas     Pre-infantiles (0 a 5 años, según modalidades): psicomotricidad, matronatación y natación.  Infantiles (6 a 14 años, según modalidades): atletismo, baloncesto, balonmano, esgrima, fútbol, gimnasia rítmica, judo, natación, pádel, tenis y voleibol.  Jóvenes y personas adultas: (15 a 64 años): acondicionamiento físico deportivo-fitness, circuitos tonificación, ciclo sala, cuerpo-mente, estiramientos/relax, fitness acuático, fuerza core, fuerza gap (glúteos, abdomen, piernas), fuerza espalda, judo, natación, pilates, pádel, tenis.  Mayores de 65 años: acondicionamiento físico deportivo, acondicionamiento físico deportivo cardiovascular, gimnasia salud, pilates, actividad acuática y natación.  Actividades para personas con discapacidad física:   natación (infantil y adultos).     Equipamientos     Superficie total de las instalaciones:  97.300 metros cuadrados.  Unidades deportivas al aire libre:  2 campos de fútbol de césped artificial, frontón (corto), piscinas (1 vaso de 50 metros, 2 vasos de recreo y 1 vaso infantil), pista de atletismo (6 calles, 2 fosos saltos y estructura para trabajo calistenia), 4  pistas de pádel, 6 pistas polideportivas (2 pistas techadas de fútbol sala/balonmano y baloncesto/voleibol), 4 pistas de pádel techadas, 5 pistas de tenis (2 techadas), rocódromo y 2 tenis de mesa.    Unidades deportivas cubiertas:  boulder, pabellón polideportivo, piscina (1 vaso de 25 metros y 1 vaso de enseñanza), sala multiusos (ciclo sala), sala multiusos polivalente y sala de musculación.  Oficina de promoción deportiva:   responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales, Copas de Primavera. Además, ofrece información sobre las escuelas de promoción deportiva.    Unidades con servicios auxiliares: aula, sala de acondicionamiento cardiovascular y reconocimiento médico.  Ayuda técnica para la accesibilidad  : instalación convertible, con 1 ascensor y 2 grúas de piscina.    Columna de rescate cardíaco.","Transporte más próximo    Metro: Miguel Hernández, Sierra de Guadalupe.  Bus: 54, 103, 142, 143, 58.  Renfe: Vallecas.  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 5 bicicletas.",Este centro deportivo no dispone de cafetería.,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee5e79262ef5d010VgnVCM1000000b205a0aRCRD,CALLE TRANVIA DE ARGANDA 4,V,28031,4,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,446209,4470416,4.038.260.362.230.280,-36.337.151.808.372.400,917 774 901,idmpalomeras@madrid.es,"CentrosEspaciosDeporte/Gimnasios"
